conversation_index,turn_index,num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
56,5,3012,835,3847,3.607185628742515
56,6,3876,448,4324,8.651785714285714
57,1,327,660,987,0.4954545454545455
57,2,1011,474,1485,2.132911392405063
57,3,1502,497,1999,3.022132796780684
57,4,2279,997,3276,2.2858575727181543
57,5,3321,588,3909,5.6479591836734695
57,6,3936,329,4265,11.963525835866262
57,7,4300,333,4633,12.912912912912914
57,8,4754,417,5171,11.400479616306955
57,9,5257,960,6217,5.476041666666666
58,1,27,901,928,0.029966703662597113
58,2,933,829,1762,1.1254523522316044
58,3,1791,315,2106,5.685714285714286
58,4,2138,858,2996,2.491841491841492
58,5,3007,848,3855,3.545990566037736
58,6,3890,559,4449,6.958855098389982
58,7,4466,536,5002,8.332089552238806
58,8,5019,993,6012,5.054380664652568
58,9,6035,1018,7053,5.928290766208251
58,10,7058,395,7453,17.868354430379746
59,1,56,707,763,0.07920792079207921
59,2,852,933,1785,0.9131832797427653
59,3,1905,900,2805,2.1166666666666667
59,4,2853,831,3684,3.4332129963898916
59,5,3712,613,4325,6.055464926590538
59,6,4343,878,5221,4.946469248291572
60,1,29,861,890,0.03368176538908246
60,2,897,64,961,14.015625
60,3,977,102,1079,9.57843137254902
60,4,1096,683,1779,1.6046852122986823
60,5,1800,916,2716,1.965065502183406
61,1,263,415,678,0.6337349397590362
61,2,702,364,1066,1.9285714285714286
61,3,1127,34,1161,33.14705882352941
62,1,954,602,1556,1.584717607973422
62,2,1626,703,2329,2.3129445234708395
62,3,2362,679,3041,3.4786450662739323
62,4,3092,684,3776,4.52046783625731
62,5,3851,97,3948,39.70103092783505
63,1,1898,640,2538,2.965625
63,2,2554,214,2768,11.934579439252337
63,3,2780,186,2966,14.946236559139784
63,4,2973,202,3175,14.717821782178218
63,5,3188,368,3556,8.66304347826087
63,6,4840,58,4898,83.44827586206897
63,7,6273,385,6658,16.293506493506495
64,1,349,461,810,0.7570498915401301
64,2,857,905,1762,0.9469613259668508
64,3,1765,243,2008,7.2633744855967075
64,4,2064,536,2600,3.8507462686567164
64,5,2622,54,2676,48.55555555555556
64,6,2758,87,2845,31.701149425287355
64,7,2865,52,2917,55.09615384615385
64,8,2966,71,3037,41.774647887323944
64,9,3083,74,3157,41.66216216216216
64,10,3204,80,3284,40.05
64,11,3301,85,3386,38.83529411764706
64,12,3401,117,3518,29.068376068376068
64,13,3524,82,3606,42.97560975609756
64,14,3636,90,3726,40.4
64,15,3737,474,4211,7.883966244725738
64,16,4267,125,4392,34.136
64,17,4435,149,4584,29.76510067114094
64,18,4638,170,4808,27.28235294117647
64,19,4843,103,4946,47.019417475728154
64,20,5125,417,5542,12.290167865707435
64,21,5569,239,5808,23.301255230125523
64,22,5830,142,5972,41.056338028169016
64,23,6016,173,6189,34.774566473988436
64,24,6201,119,6320,52.109243697478995
64,25,6365,121,6486,52.603305785123965
64,26,6498,401,6899,16.204488778054863
64,27,6932,208,7140,33.32692307692308
64,28,7196,110,7306,65.41818181818182
64,29,7340,354,7694,20.73446327683616
64,30,7764,123,7887,63.1219512195122
65,1,162,290,452,0.5586206896551724
65,2,459,387,846,1.186046511627907
65,3,957,876,1833,1.0924657534246576
65,4,1854,875,2729,2.1188571428571428
65,5,2749,874,3623,3.145308924485126
65,6,3694,834,4528,4.429256594724221
65,7,4570,266,4836,17.18045112781955
65,8,4918,309,5227,15.915857605177994
65,9,5279,526,5805,10.036121673003802
66,1,180,736,916,0.24456521739130435
67,1,70,1029,1099,0.06802721088435375
67,2,1130,865,1995,1.30635838150289
67,3,2012,929,2941,2.1657696447793326
68,1,17,36,53,0.4722222222222222
68,2,1209,47,1256,25.72340425531915
68,3,1285,726,2011,1.7699724517906337
69,1,96,463,559,0.20734341252699784
69,2,613,454,1067,1.3502202643171806
69,3,1093,430,1523,2.541860465116279
69,4,1594,519,2113,3.071290944123314
69,5,2191,321,2512,6.825545171339564
69,6,2546,545,3091,4.671559633027523
69,7,3141,238,3379,13.197478991596638
69,8,3416,431,3847,7.9257540603248255
69,9,3911,410,4321,9.539024390243902
69,10,4351,356,4707,12.22191011235955
69,11,4774,481,5255,9.925155925155925
69,12,5287,506,5793,10.448616600790514
69,13,5887,422,6309,13.950236966824644
70,1,59,756,815,0.07804232804232804
70,2,1010,641,1651,1.575663026521061
70,3,1806,787,2593,2.2947903430749683
70,4,2660,620,3280,4.290322580645161
70,5,3425,550,3975,6.2272727272727275
70,6,4086,812,4898,5.032019704433497
70,7,5002,727,5729,6.880330123796424
71,1,43,583,626,0.07375643224699828
71,2,640,440,1080,1.4545454545454546
71,3,1096,304,1400,3.6052631578947367
71,4,3479,76,3555,45.776315789473685
71,5,3584,496,4080,7.225806451612903
71,6,4130,651,4781,6.344086021505376
72,1,7,342,349,0.02046783625730994
72,2,360,562,922,0.6405693950177936
72,3,1011,706,1717,1.4320113314447591
72,4,1733,722,2455,2.4002770083102494
72,5,2469,536,3005,4.606343283582089
72,6,3018,942,3960,3.2038216560509554
73,1,72,422,494,0.17061611374407584
74,1,445,440,885,1.0113636363636365
74,2,940,386,1326,2.435233160621762
74,3,1408,600,2008,2.3466666666666667
74,4,2228,345,2573,6.457971014492753
74,5,2715,443,3158,6.128668171557562
74,6,3253,382,3635,8.515706806282722
74,7,3676,402,4078,9.144278606965175
74,8,4340,415,4755,10.457831325301205
74,9,4980,797,5777,6.2484316185696365
74,10,5791,1142,6933,5.07092819614711
75,1,1252,268,1520,4.6716417910447765
75,2,1532,142,1674,10.788732394366198
76,1,887,343,1230,2.58600583090379
76,2,1518,210,1728,7.228571428571429
77,1,183,636,819,0.28773584905660377
77,2,822,418,1240,1.9665071770334928
77,3,1788,618,2406,2.8932038834951457
77,4,2409,607,3016,3.9686985172981877
77,5,3019,636,3655,4.74685534591195
77,6,3658,372,4030,9.833333333333334
77,7,4033,552,4585,7.306159420289855
77,8,5136,658,5794,7.805471124620061
77,9,5797,230,6027,25.204347826086956
77,10,6065,534,6599,11.357677902621722
77,11,6662,660,7322,10.093939393939394
77,12,7380,708,8088,10.423728813559322
78,1,28,422,450,0.06635071090047394
79,1,4,840,844,0.004761904761904762
80,1,71,876,947,0.08105022831050228
80,2,963,613,1576,1.570962479608483
80,3,1615,765,2380,2.111111111111111
80,4,2413,636,3049,3.7940251572327046
80,5,3065,817,3882,3.751529987760098
80,6,3904,845,4749,4.620118343195267
80,7,4773,838,5611,5.695704057279237
80,8,5627,927,6554,6.070118662351672
80,9,6573,910,7483,7.223076923076923
80,10,7501,536,8037,13.994402985074627
81,1,42,959,1001,0.043795620437956206
82,1,38,46,84,0.8260869565217391
82,2,227,585,812,0.38803418803418804
82,3,911,5,916,182.2
82,4,1428,5,1433,285.6
82,5,3160,5,3165,632.0
82,6,4489,5,4494,897.8
82,7,6692,5,6697,1338.4
82,8,8014,5,8019,1602.8
83,1,20,291,311,0.06872852233676977
84,1,22,827,849,0.026602176541717048
85,1,105,629,734,0.1669316375198728
85,2,762,458,1220,1.6637554585152838
85,3,1234,197,1431,6.2639593908629445
85,4,1564,795,2359,1.9672955974842767
85,5,2442,947,3389,2.5786694825765575
85,6,3410,585,3995,5.829059829059829
86,1,232,285,517,0.8140350877192982
87,1,30,820,850,0.036585365853658534
87,2,852,591,1443,1.4416243654822336
87,3,1469,853,2322,1.7221570926143024
88,1,45,622,667,0.07234726688102894
88,2,757,368,1125,2.057065217391304
88,3,1206,173,1379,6.971098265895954
88,4,1396,474,1870,2.9451476793248945
89,1,283,578,861,0.48961937716262977
89,2,958,550,1508,1.7418181818181817
89,3,1864,449,2313,4.151447661469933
90,1,24,525,549,0.045714285714285714
90,2,563,451,1014,1.2483370288248337
91,1,7,509,516,0.0137524557956778
92,1,27,794,821,0.03400503778337532
92,2,831,531,1362,1.5649717514124293
92,3,1386,226,1612,6.132743362831858
92,4,3825,250,4075,15.3
92,5,4276,126,4402,33.93650793650794
92,6,4418,939,5357,4.705005324813632
92,7,5365,879,6244,6.103526734926052
92,8,6266,413,6679,15.171912832929783
92,9,6706,305,7011,21.98688524590164
92,10,7021,493,7514,14.241379310344827
92,11,7522,405,7927,18.57283950617284
93,1,95,282,377,0.33687943262411346
94,1,140,459,599,0.30501089324618735
94,2,626,930,1556,0.6731182795698925
94,3,1812,692,2504,2.6184971098265897
95,1,22,122,144,0.18032786885245902
95,2,163,514,677,0.31712062256809337
95,3,730,512,1242,1.42578125
95,4,1245,602,1847,2.068106312292359
95,5,1868,884,2752,2.1131221719457014
95,6,2780,798,3578,3.4837092731829573
96,1,89,473,562,0.18816067653276955
96,2,587,408,995,1.4387254901960784
96,3,1028,49,1077,20.979591836734695
96,4,1131,37,1168,30.56756756756757
96,5,1221,812,2033,1.5036945812807883
96,6,2096,823,2919,2.5467800729040095
96,7,2964,702,3666,4.222222222222222
96,8,3772,99,3871,38.101010101010104
96,9,3966,389,4355,10.195372750642674
96,10,4373,419,4792,10.436754176610979
96,11,4810,542,5352,8.874538745387454
96,12,5481,811,6292,6.758323057953144
96,13,6374,866,7240,7.36027713625866
97,1,17,493,510,0.034482758620689655
98,1,387,876,1263,0.4417808219178082
98,2,1351,261,1612,5.176245210727969
99,1,71,770,841,0.09220779220779221
99,2,844,549,1393,1.5373406193078325
99,3,1396,966,2362,1.445134575569358
99,4,2366,851,3217,2.780258519388954
99,5,3222,302,3524,10.668874172185431
99,6,3540,448,3988,7.901785714285714
99,7,3994,817,4811,4.8886168910648715
99,8,4821,936,5757,5.1506410256410255
99,9,5760,909,6669,6.336633663366337
100,1,66,854,920,0.07728337236533958
100,2,941,642,1583,1.4657320872274144
100,3,1604,595,2199,2.6957983193277313
100,4,2226,561,2787,3.9679144385026737
101,1,32,620,652,0.05161290322580645
101,2,675,641,1316,1.0530421216848673
102,1,26,742,768,0.03504043126684636
102,2,797,29,826,27.482758620689655
102,3,2158,566,2724,3.812720848056537
102,4,2739,914,3653,2.9967177242888403
102,5,3667,138,3805,26.57246376811594
102,6,3824,580,4404,6.593103448275862
102,7,4430,590,5020,7.508474576271187
102,8,5135,617,5752,8.322528363047002
102,9,5767,536,6303,10.759328358208956
102,10,6429,438,6867,14.678082191780822
102,11,6918,74,6992,93.48648648648648
102,12,7009,913,7922,7.676889375684556
103,1,174,75,249,2.32
103,2,390,110,500,3.5454545454545454
103,3,554,390,944,1.4205128205128206
103,4,999,439,1438,2.275626423690205
103,5,1652,458,2110,3.606986899563319
103,6,2762,635,3397,4.349606299212598
103,7,3422,735,4157,4.65578231292517
103,8,4267,600,4867,7.111666666666666
103,9,5067,282,5349,17.96808510638298
103,10,5674,418,6092,13.574162679425838
103,11,6258,327,6585,19.137614678899084
103,12,6600,699,7299,9.44206008583691
103,13,7355,703,8058,10.46230440967283
104,1,148,685,833,0.21605839416058395
104,2,870,562,1432,1.5480427046263345
104,3,1486,648,2134,2.29320987654321
104,4,2164,318,2482,6.80503144654088
105,1,117,518,635,0.22586872586872586
105,2,654,147,801,4.448979591836735
105,3,823,391,1214,2.104859335038363
105,4,1243,200,1443,6.215
105,5,1490,440,1930,3.3863636363636362
105,6,1993,353,2346,5.645892351274788
105,7,2369,239,2608,9.912133891213388
105,8,2646,323,2969,8.191950464396285
106,1,96,579,675,0.16580310880829016
106,2,694,201,895,3.4527363184079602
107,1,151,929,1080,0.16254036598493002
107,2,1086,461,1547,2.355748373101952
108,1,702,15,717,46.8
108,2,988,620,1608,1.5935483870967742
109,1,330,661,991,0.49924357034795763
109,2,1021,784,1805,1.302295918367347
109,3,1813,746,2559,2.43029490616622
109,4,2636,704,3340,3.7443181818181817
110,1,114,253,367,0.4505928853754941
110,2,380,239,619,1.5899581589958158
111,1,500,1021,1521,0.48971596474045054
111,2,1534,602,2136,2.548172757475083
111,3,2162,907,3069,2.3836824696802648
111,4,3094,929,4023,3.330462863293864
111,5,4050,750,4800,5.4
111,6,4830,761,5591,6.3469119579500655
111,7,5624,985,6609,5.7096446700507615
112,1,23,778,801,0.02956298200514139
112,2,852,934,1786,0.9122055674518201
112,3,1802,201,2003,8.965174129353233
112,4,2034,494,2528,4.117408906882591
112,5,2566,441,3007,5.81859410430839
112,6,3054,471,3525,6.484076433121019
112,7,3898,275,4173,14.174545454545454
112,8,5357,248,5605,21.600806451612904
112,9,5635,665,6300,8.473684210526315
112,10,6361,107,6468,59.44859813084112
112,11,6489,203,6692,31.96551724137931
112,12,6704,191,6895,35.09947643979058
112,13,6910,623,7533,11.091492776886035
113,1,19,117,136,0.1623931623931624
113,2,148,102,250,1.4509803921568627
113,3,272,237,509,1.1476793248945147
113,4,519,40,559,12.975
113,5,570,38,608,15.0
114,1,2899,387,3286,7.4909560723514215
114,2,3288,404,3692,8.138613861386139
114,3,3767,301,4068,12.514950166112957
114,4,4070,360,4430,11.305555555555555
114,5,4433,34,4467,130.38235294117646
115,1,58,228,286,0.2543859649122807
116,1,29,528,557,0.054924242424242424
116,2,582,577,1159,1.0086655112651646
116,3,1193,733,1926,1.6275579809004093
116,4,1953,491,2444,3.9775967413441955
116,5,2478,444,2922,5.581081081081081
116,6,2964,727,3691,4.0770288858321875
116,7,3727,659,4386,5.655538694992413
116,8,4416,683,5099,6.465592972181552
116,9,5125,549,5674,9.335154826958105
116,10,5721,367,6088,15.588555858310627
116,11,6111,628,6739,9.730891719745223
116,12,6781,756,7537,8.96957671957672
117,1,258,359,617,0.7186629526462396
117,2,630,17,647,37.05882352941177
117,3,665,104,769,6.394230769230769
117,4,798,188,986,4.24468085106383
117,5,1012,157,1169,6.445859872611465
117,6,1203,304,1507,3.9572368421052633
117,7,1559,314,1873,4.964968152866242
117,8,1881,325,2206,5.787692307692308
117,9,2230,269,2499,8.28996282527881
117,10,2523,182,2705,13.862637362637363
118,1,707,938,1645,0.753731343283582
119,1,13,357,370,0.036414565826330535
119,2,382,491,873,0.7780040733197556
119,3,901,429,1330,2.1002331002331003
119,4,1351,262,1613,5.156488549618321
119,5,1622,516,2138,3.143410852713178
119,6,2149,210,2359,10.233333333333333
119,7,2380,532,2912,4.473684210526316
119,8,2947,633,3580,4.655608214849921
119,9,3608,546,4154,6.608058608058608
119,10,4163,436,4599,9.54816513761468
119,11,4622,571,5193,8.094570928196147
119,12,5224,511,5735,10.223091976516635
119,13,5761,531,6292,10.849340866290019
119,14,6343,789,7132,8.039290240811154
119,15,7141,437,7578,16.340961098398168
120,1,37,28,65,1.3214285714285714
120,2,96,211,307,0.4549763033175355
120,3,323,52,375,6.211538461538462
120,4,403,108,511,3.7314814814814814
120,5,538,213,751,2.5258215962441315
120,6,786,271,1057,2.9003690036900367
120,7,1106,225,1331,4.915555555555556
120,8,1374,190,1564,7.231578947368421
120,9,1571,41,1612,38.31707317073171
120,10,1635,277,1912,5.902527075812275
120,11,2012,207,2219,9.719806763285025
120,12,2281,261,2542,8.739463601532567
120,13,2624,203,2827,12.926108374384237
120,14,2941,181,3122,16.248618784530386
120,15,3170,158,3328,20.063291139240505
120,16,3361,156,3517,21.544871794871796
120,17,3731,315,4046,11.844444444444445
120,18,4054,100,4154,40.54
120,19,4199,78,4277,53.833333333333336
121,1,1947,647,2594,3.009273570324575
121,2,2930,1111,4041,2.637263726372637
121,3,4049,821,4870,4.931790499390987
121,4,5552,1100,6652,5.047272727272727
121,5,6660,667,7327,9.985007496251875
122,1,52,472,524,0.11016949152542373
123,1,110,548,658,0.20072992700729927
123,2,678,569,1247,1.1915641476274166
124,1,76,85,161,0.8941176470588236
125,1,429,670,1099,0.6402985074626866
125,2,1157,596,1753,1.941275167785235
125,3,1780,493,2273,3.610547667342799
125,4,2315,446,2761,5.190582959641255
125,5,2797,938,3735,2.981876332622601
126,1,483,462,945,1.0454545454545454
126,2,960,779,1739,1.2323491655969192
127,1,3052,683,3735,4.468521229868228
127,2,3790,1037,4827,3.6547733847637414
127,3,4932,978,5910,5.042944785276074
127,4,5934,225,6159,26.373333333333335
127,5,6184,566,6750,10.925795053003533
127,6,6828,528,7356,12.931818181818182
127,7,7395,294,7689,25.153061224489797
127,8,7717,366,8083,21.084699453551913
128,1,65,23,88,2.8260869565217392
128,2,258,2,260,129.0
128,3,322,2,324,161.0
128,4,431,2,433,215.5
128,5,634,2,636,317.0
128,6,767,4,771,191.75
128,7,826,389,1215,2.1233933161953726
129,1,20,423,443,0.04728132387706856
129,2,471,816,1287,0.5772058823529411
129,3,1292,171,1463,7.555555555555555
129,4,1487,834,2321,1.7829736211031175
129,5,2326,576,2902,4.038194444444445
129,6,2933,804,3737,3.648009950248756
129,7,3751,816,4567,4.596813725490196
129,8,4572,152,4724,30.07894736842105
129,9,4775,702,5477,6.801994301994302
129,10,5501,748,6249,7.35427807486631
